sentence,emotion
i agonize over whatever vapid thing i am feeling stressed out about at any given moment,anger
i feel like most of that at least the grades thing is because he cant be bothered to try,anger
i don t feel being dissatisfied with the help offered is necessarily a symptom of anything other than a stigmatising judgmental and inflexible system,anger
i didn t feel bothered or threatened or creeped out,anger
i was at home,anger
i am feeling extremely hostile towards conservatives who are once again pulling lies out of their butts to improve their election odds,anger
im feeling really annoyed right now because i love and care for you and i obviously want the best for you,anger
i was feeling annoyed that not even a year ago i was running ks for fun,anger
i want to be able to see whats worth getting upset over and what isnt and to be able to pick the right time and place and know the right way of going about telling someone if i feel they have wronged me,anger
i have been a bit busy in the past week and while i feel stressed i dont feel depressed,anger
i envy those kind of people and i have feeling that some people do jealous with me,anger
i woke up feeling angry and sad,anger
i feel so fucked up these days,anger
a close friend took part in a racist violent action,anger
im feeling kind of irritable over some events that transpired the last few days,anger
i didnt feel like that bothered me that much thanks to my birmingham training,anger
i feel mad its easy to cry,anger
im feeling spiteful towards is absolute best of best friends with both people to blame for my money problem,anger
i dont want to stay but the fact that i need to strive hard to stay makes me feel a little bit stubborn,anger
i do have those moments when i feel a bit grouchy or dark then i will find ways to act more energetic,anger
i know he meant to say he was feeling impatient and wanted to go home but it came out as shut up you stupid lady,anger
i would feel like he s being greedy cheap or insensitive,anger
i was starting to loose motivation because i didnt get any results which stressed me out because if i didnt feel like i was making progress and thus the vicious cycle continues,anger
i am wiped out and feeling mildly hostile to the idea of treating any patients in the near future,anger
i know you gave the same attention to the other girls i feel disgusted,anger
i hated being able to feel it on there i hated the effort of washing it off every night how long it took to put on,anger
i cant sit here without feeling vile and disgusting,anger
i feel soluke you must have been quite pissed off at rebecca s article inthe daily world says zelda,anger
i want to pray for healing but it almost feels selfish,anger
i don t want to judge him for being what he is and just examine myself when i feel agitated about him,anger
i am really tired i am feeling very bitchy amp cranky,anger
i left the place feeling pretty pissed off,anger
i feel angry at the laboratory that processed my blood tests,anger
when,anger
i was feeling like a crapbag and pissed at the same time,anger
i feel out of place annoyed embarrassed and trapped in myself when im at these meetings,anger
i am an atheist through and through but i can appreciate the story of lupercalia and i feel outraged at the circumstances of its downfall,anger
i feel grumpy shine when i feel sad shine when i feel hopeless shine when i feel lost shine when i feel like god doesn t hear shine when i feel alone shine when i feel defeated shine regardless of how we feel those emotions will pass but the light we give will last,anger
i began to feel grouchy and tired,anger
i didnt feel like i was being rushed out,anger
im feeling rushed and a little frazzled with this weekend planning thing with the guy and going shopping with dads gf and working on my research paper,anger
i never have it feels insincere and a little nosy you get a hint that something might be wrong and want to jump in and get all the details,anger
i cant make it to breakfast without a slip up of some sort complaining that i didnt get enough sleep remembering that thing i was mad about three weeks ago and getting angry all over again feeling envious that cassie gets to sleep in worrying about how to pay for the new tires the car needs,anger
i feel dangerous man,anger
i feel like im selfish,anger
im feeling pretty greedy now after writing this post,anger
i havent often felt this feeling once someone stole my garment,anger
i feel frustrated and upset and demotivated when i dont see a whole picture of the curriculum that im studying for example english class,anger
i aint feel jealous p,anger
i was feeling spiteful id remove the ridiculously obscured reference to a donkey punch that nobody would get but me and him and three other perverts total,anger
i don t want to lie to you so i m admitting that i still feel slightly bitter about minho shy sunbae,anger
i feel rude and embarrassed,anger
i recall that azula didnt have that except in her mentions of feeling her mother hated her which also never went anywhere or were developed and ultimately shes punished without so much as a final scene to indicate whats to become of her now,anger
i begin feeling agitated,anger
i feel that it is a little dangerous to let scientists be independently funded while working in these communal labs with no supervision or regulation,anger
i was left feeling somewhat agitated unsatisfied and unsettled by the non ending even though i did expect a lack of resolution,anger
i feel like i can t be bothered to worry about stuff i have no hope of changing,anger
im really trying to be more honest with myself and others about what i really think and feel and not being sarcastic is forcing me to do that but its so difficult,anger
i feel irritable and sad at the same time,anger
i feel dissatisfied with everything lately,anger
i will somehow become a visionary and enact legislation instead of just bitching about the bush administration i cant help but feel a little dissatisfied knowing that evangelicalism and the fear of the end times still exists,anger
i felt numb cold to my roots and it wasn t the good feeling kind of cold,anger
i feel i should point out i do not view or belong to any site that publishes or sells violent pornography no doubt many of you think of me as pervy or dodgy in matters like this,anger
i feel insulted by him is i am on your side,anger
i feel often to use other more rude words,anger
i feel offended that people who are looked down upon by society looked down on me,anger
i asked for prayers for at home church on thursday night just not feeling myself feeling irritable and wanting things to be about me,anger
i certainly have more to write about but im feeling distracted by the sun and all the other stuff on the ole to do list,anger
at a social event when none of the guests would help to serve food or clear tables it was all beneath them,anger
i am feeling irritable and angry with myself,anger
im not sure if i can write this post now i feel so distracted haha,anger
i am not sure if it was the material or that i usually leave it till right before testing and then i feel totally stressed,anger
a girl entered in the division where i work and greeted everybody but not me,anger
i i know i feel that way because i fucked up and she wont take me back,anger
i feel frustrated that i haven t been able to finish any of the blog entries i started this month,anger
i visit livejournal i feel angered by the lack of h in my journal name,anger
i feel like i cant be bothered to recover recently like if i try not to b p i still end up doing it eventually,anger
i feel like i am perpetually angry,anger
i guess i feel a bit less irritable now that im in my pajama pants sitting in my room in the dark,anger
i get cards like this i start to feel paranoid,fear
im going to feel so paranoid,fear
i know you realize if you read my blog that i feel uncertain of where my journey in writing will take me,fear
i feel scared that i will screw up other peoples day so i try to pretend i am mostly just an audience,fear
i took a break this year and now that i feel like i might be attracted to someone i am really hesitant about it,fear
i feel less anxious and stressed out because i know im not saying goodbye to this place and these people forever though,fear
i feel a little insecure about my desire to retreat,fear
i certainly realize that im not going to be struck down should i remove my hammer but i admit that i feel somewhat unprotected at the thought of not having it on,fear
i did feel like i was paranoid about my future,fear
i ramped into a bloody great well of depression and now six months later i am feeling insecure unemployable and downright worthless,fear
im feeling a tad skeptical that they did it all and did it so well all by their little humble wise and learned selves,fear
i step into something big i get a glimpse of my past falls and i feel hesitant to put my heart in yours,fear
i feel frightened angry und now confused,fear
i ask to know things and then everything changes and then i feel a bit shaky as i try to keep up with my own leading edge and the huge amount of change i m invited to allow as i come into alignment with and catch up with me,fear
i want to tell you how i really feel but more than anything i m petrified of the rejection,fear
i feel so shaken and even doubtful of myself and my works,fear
i feel reluctant talking about myself and my current situation to you as i don t know how you ll feel but i guess its important you know all about me and the situation i am in so that we ll know if we can go further,fear
i do feel this weird need to get rid of the thoughts i have weird i think because i all too often dont do it anyway,fear
i am feeling a might agitated about the turn of events and wonder what the democratic majority in both houses will do besides yak yak yak yak,fear
i feel tortured the wrap a href http blog,fear
i just feel kinda weird about it because we havent really talked about anything,fear
i feel a bit uncomfortable sharing about our needs but i am humbled by peoples responses to want to help even when we were focused so much on our children that we didnt even think about the future,fear
i used to feel shy about my name but later on and after much thinking several factors including my grandfathers sacrifices in the collective efforts to ensure sarawaks inclusion in the federation of malaysia i started feeling proud of my name she said,fear
i have felt discontent and despair i felt my faith being tested and i was feeling very afraid and insecure,fear
i feel like i am restless,fear
i find i m barely breathing and feel a little frantic,fear
im feeling very unsure of myself,fear
i exist is less than others because there are not as many people who feel threatened by my presence enough to strike out or kill as there are for say someone like cece mcdonald you should read up on her case if you aren t familiar,fear
i woke before i could feel much more i just remember his anger or turmoil it frightened me so much i was completely unable to go back to sleep,fear
i think i feel intimidated by her,fear
i think overall its affected my ability to trust my ability to not feel marginalized and i am very suspicious of cliques and authority,fear
i feel vulnerable when i try to speak spanish because i m afraid i won t seem to know what i m talking about,fear
i feel doubtful or tired,fear
i accumulated in my heart somewhere at times causes much throbbing deep within at times and i feel helpless,fear
i do feel tortured,fear
i feel so distraught and blues and hurt and i hit record i floor myself sometimes with raw intensity that comes to the surface,fear
i feel worry about your anxiety i see in fact i start being anxious i see your weakness but i do not know which hand shall i use to give you a hug i see in fact i am feeling weak now as well,fear
i was always worried that i would be stepping on someones toes or making someone feel uncomfortable with i asked them,fear
i feel like i m less confused,fear
before an exam in logics,fear
i dont know how i feel about this or rather im doubtful about this,fear
i had the chance of making everyone feel frightened,fear
i am feeling fearful i think i will choose to take the road to the temple inside my being inside my heart and hang out there,fear
i feel such a need to be skeptical of this type of thing,fear
i have a fever no energy and yet i feel restless so i cant sit still like i should on top of that someone i dont wanna meet is coming here today,fear
i feel like a frkn can of soda thats been shaken times ready to explode,fear
i feel like we tortured him that whole time,fear
i feel inside this life is like a game sometimes then you came around me the walls just disappeared nothing to surround me keep me from my fears im unprotected see how ive opened up youve made me trust chorus cuz ive never felt like this before im naked around you does it show,fear
i feel wimpy though so i have to tag it on the beginning for accuracy when self identifying,fear
i still wear it often especially if i am feeling anxious or worried about the future,fear
i tumble turned and pushed off into my stroke feeling a little confused,fear
i feel helpless to fix this,fear
i hope that feelings and actions of compassion will help to alleviate my fearful emotions and keep my dream under control,fear
i know hard things are going to come my way i can feel it but im scared of masking it all again of not letting myself,fear
i think my dream was telling me that i may be feeling unsure of the path im on but its good and i will be safe,fear
im not a coward and i should not feel so hesitant just to go see astrea,fear
im blocked i could at least be doing something constructive my room needs a major cleaning for instance but i feel agitated if im not at least doing research for this story it does require a lot of research,fear
i have writers block it feels as if i will never write again or that if i do it will be junk and as i do not want to write junk it makes me fearful to write,fear
i start to feel a fearful urgency in my heart and a little voice in my head saying no,fear
i was a new student i would feel very scared and confused,fear
i have promised to walk beside her supporting her when she stumbles or falls protecting her when she feels frightened or scared guiding her when she is lost or confused but most of all loving her more each and every day,fear
i feel pressured to do better but when my body tells me to stop running my mind always complies to it,fear
i feel so distressed that my friends and loved ones will be so disappointed that im not the driven and wonderful person they expected i would be,fear
i guess burning myself out left me feeling paranoid and delusional,fear
im trying to gain steam but i just feel more and more confused about it every time,fear
i feel assaulted at work,fear
i learn this i feel more frantic,fear
i feel so confused and restless s,fear
i remember feeling so terrified that ruby was already sick and all this pushing which wasnt working would make things worse,fear
i feel frightened alone isolated,fear
i feel like some helpless child in a corner,fear
i was feeling afraid of being hurt again and maybe wanted to pull back,fear
i feel as if it can only do myself and my work a disservice thinking less of them being neurotic doubtful,fear
i will still feel insecure,fear
i feel i am reluctant to move to the flickr service picasa or imageshark,fear
i feel completely intimidated by it,fear
i can do something despite feeling scared,fear
i feel uncertain or unstable im going to do yoga or jog,fear
i think this month is going to feel weird because i won t be so focused on working on the individual projects but it ll still be productive nonetheless,fear
i used to be but you can likely relate to that feeling of wanting to do something but feeling terrified to start,fear
i feel weird about immersing myself in a kid centric world,fear
i was sitting there waiting i just started feeling really weird and told the nurse i think i need to lay down,fear
i feel real hesitant about because i think spanish is enoguh for me,fear
i read time and again in the vapid world of social networking which remains both a force for good and bad in almost equal measure but which i tire of very quickly especially if i m feeling vulnerable,fear
i have with my family there are times when i feel completely vulnerable and torn,fear
i watched it i wondered myself if hoffman would feel so distraught that hed go hang it up,fear
i they begin to show their feelings towards one another though london is still hesitant sharing an awkward kiss at the end of book i and then allowing their romance to grow as the book goes on,fear
i can still feel rather uptight,fear
i think i care to much about me now to put myself in that position of obvious emotional abuse and pain i feel like i recoil from it i m frightened of it,fear
i just feel that she crosses the line a lot and does a lot of things that i m really uncomfortable with,fear
i just assume its mandarin and always end up feeling confused when my friends or colleagues point out that its not,fear
i didnt want to feel outcasted as the uptight religious mormon girl nor did i want to feel like i had to remind everyone i did not drink smoke or wear short dresses,fear
i feel insecure again oct,fear
i cant give up on him but i feel so helpless,fear
i have it all planned for two days i feel like i can do this this time i am going to make this change because i am scared to die and leave my kiddos with no one,fear
i hate this kind of thing i feel very uncomfortable being pampered in any way,fear
i wanted to convey this feeling of being on the edge of something and feeling anxious that something could happen,fear
im also feeling a bit indecisive,fear
i feel really strange afterwards and i don t think it s good for myself esteem,fear
i feel suspicious of any scenario in which i must release complete creative control to someone i dont know personally in a familial or lived through some period of great joy or trauma kind of way,fear
i am sure that asking might have made him feel uncertain about his smile,fear
im starting to feel uncomfortable working at my stall,fear
i will eat a few bites because i always feel very strange feeling of apple pie,fear
i feel so apprehensive about the potty issue,fear
i feel a bit hesitant to give up these bright cool days of winter i cant help but feel a twinge of excitement as i see those sprouts,fear
i feel like that kid thats afraid to seem needy so doesnt talk to anyone instead like im all alone in this town while i try to figure out the ropes and figure out where i belong,fear
i get along with great location i feel reluctant to accept because it feels too familiar,fear
i was worried that i was gonna get here and you wouldnt feel weird anymore,fear
i am feeling uncertain of anything im doing,fear
i still feel shaky but it is gradually getting better i have no idea what is going on,fear
i am feeling increasingly overwhelmed when i ran across a title little things about god href http littlethingsaboutgod,fear
i know they may not understand why or how and i feel pressured to stay with local topics,fear
i didn t want my husband feeling uncomfortable around his wife so i did whatever i could,fear
i feel so conflicted confused and depressed and there s no words for it apart from torn really,fear
i feel less frightened for the birth now it seemed so overwhelming at first,fear
i feel distraught frustrated discouraged prideful and my expectations in life fail and leave me feeling hungry sometimes starving,fear
i feel reluctant talking about this on here but i am trusting again although i have been hurt and heart broken but i am never scared of falling in love or trusting again because i know the right guy is out there,fear
i would find comfort on the toilet hubby kneeling in front of me the midwife seated on the floor taking notes but i began to feel afraid of the enormity of the tightening and pressure,fear
i fully expected to feel nervous panic impatience scared etc,fear
i know you feel alarmed when you are up in the night not sleeping to which i quickly corrected him,fear
i feel really shaken but i told my general manager this morning that he had saved my life,fear
i sometimes suspect that i am quite easily influenced by other people particularly when i am feeling uncertain about my own opinions and instincts,fear
i was feeling insecure about all of this but especially this last part,fear
i thought made me feel a little distraught a little confused with your style of loving cuz i m not used with this kind of emotional shoving,fear
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear
i somehow feel terrified as though if i dare slow down or walk in place to catch my breath billy blanks will jump out of the screen and yell into my face with all his fierceness,fear
i make jokes about being happy to get rid of them for the school year but its just because i feel incredibly vulnerable about sharing them with others,fear
i feel fearful i m less open mentally emotionally and spiritually,fear
ive been feeling uncertain about my job,fear
i feel absolutely no concern whatsoever that fully unprotected sex will have absolutely zero consequences,fear
i still feel very unsure of this relationship and how they feel for me,fear
i feel that if i dont write this out and let it out into the world i might just have a nervous breakdown or even worse completely loose it at just the wrong moment,fear
i plucked up enough courage yeah im afraid of everything so sometimes it takes me ages to try something because i feel so apprehensive of failure to try using mini piping bags to do the piping work instead of using a pin like i had been doing before,fear
i no talk now mama feeling shy,fear
i feel so pranked by time im frightened by the thought of the piling tasks at work oh man how i dont feel like going to bed now because itd be a brand new day all so soon shucks and the luck all left me for some other these few days it will all come back,fear
i am feeling terrified,fear
i feel that i should mention that i feel equally as vulnerable writing about my political opinion as i would writing about sex a little bit apprehensive and a tiny bit worried about what people will think,fear
i couldnt sleep well at all and now i feel so restless,fear
i feel in a strange place to strange and report their names is very safe,fear
i was feeling anxious in the waiting room and had worked my stomach into a tizzy,fear
i am feeling a bit scared theres also peace there for me,fear
i feel rather reluctant to leave my newest arrivals for a week as we head off to the mothe,fear
i sat down after the first jam feeling shaken and unsure,fear
i feel very tortured inside,fear
i was just feeling so agitated after the test,fear
i feel threatened by his very presence,fear
im feeling uptight,fear
i really feel so shaken up by everything that i cant concentrate and that renders my mind worthless,fear
i feel helpless but grateful,fear
i feel a little skeptical but what have i got to lose,fear
i do not feel so pressured to make a painting,fear
i think anyone who has a bad hair day feels anxious and has one resolution to hide,fear
i feel kind of shy writing stuff like this sometimes,fear
i make the choices in my relationships to act as if i did not believe these things about myself to only date those men who ask for consent in sexual acts to be a strong voice for women to speak up when i feel threatened or objectified,fear
i could feel how frightened she had become,fear
i don t feel shaken r self conscious,fear
i love my life and am so blessed to be able to be with our son full time but there are days that everything hits me like a ton of bricks and i feel completely overwhelmed,fear
i do have more energy and im tired of my house being a mess i feel totally overwhelmed and have no clue where to even begin,fear
i tell you that the vyvanse still works for me and that i very often worry it has stopped working you may feel doubtful,fear
i feel he was threatened when i brought the rifle up the court let defendant enter his plea,fear
im just feeling insecure about how it looks hanging there,fear
i read that he has much to tell me that i am on the right path even though it feels unsure and that although i feel unworthy and unqualified he has a plan though it may be hidden from me right now,fear
i feel a bit hesitant because i want to bury my past completely to rid myself of all reminders of ken and last year but my friends hang out with him and thus see him once in a while and,fear
i always feel pressured to socialize or i get eight missed calls and some texts from my host brother in the span of an hour,fear
i feel threatened or did anyone in the court feel threatened,fear
i felt too tired to even try and raise my strident voice among the strident voices and it s just one of those days where it feels like we are all frantic and wide eyed scrambling with indignation disgusted by and yet clinging to our outrage and anger,fear
i really cannot stress the joy i feel having played through this game after initially being skeptical on it being worth euro s,fear
i so wanted to say please please im feeling really threatened couldnt we do this in a closed rehearsal,fear
i felt guilty afterwards but hell i am feeling very tortured right now so discomfort is no foreign feeling,fear
last summer i was walking along the beach in a bikini and an awful man came cycling after me he was shouting and i ran as fast as my legs could carry me,fear
i dont deny i am feeling nervous and it will go up the moment the guest are here,fear
i stay the more distanced from others i feel it is strange because i sometimes feel like a new friendship is growing or forming,fear
i should laugh when i see them but the reality is that i feel uncomfortable when they do it,fear
im feeling a tad apprehensive about this post for a couple of different reasons if im honest,fear
im starting to feel shaky,fear
i started feeling really weird physically,fear
i feel like weird is the new cool and creepy is the new weird,fear
i did feel reluctant to keep on going and drew focalors sigil with a black opium incense stick on a wall by grabbing the wooden part and pulling the incense part back slightly and allowing it to smack to wall leaving a black powder line and meditated,fear
i like theater productions but his angle on it is something that i wouldnt be strongly interested in myself so it feels doubtful to me it would have a wide readership,fear
i cant help but feel overwhelmed at times,fear
im by no means huge however as im only i find that any extra weight at all makes me feel very uncomfortable in myself as well as my clothes,fear
when i witnessed a bus accident in which a bus,fear
i feel joy i become frightened of it,fear
i feel so helpless now,fear
i feel so uncomfortable,fear
i am feeling bashful a first look at shyness border src http,fear
i have plenty to be getting on with but i feel reluctant to push myself to achieve more like i once did i find myself being less helpful to other people and i am sure i seem a little grumpy,fear
im not a fucking virus to be treated like a pest and besides youre not i repeat not white blood cells to be able to make me feel threatened or rather engulfed by your general awesomeness,fear
i feel a little overwhelmed because there is no curriculum but i have resources who are helping me out,fear
i feel like jerry jones and tom coughlin are just frightened by chip kelly comment,fear
i feel absolutely petrified of failing,fear
when i came home late one day i was afraid i would be shouted at by my parents,fear
i feel like it has been shaken,fear
i feel all but hesitant to even submit this post,fear
i feel suspicious about it,fear
im not feeling as restless as i once was,fear
im trying to get at here is that non of us should feel pressured into the decisions we make,fear
i feel even more pressured to cook healthy meals and not eat out do thorough preschool lessons with my boys keep the house spotless exercise serve the church and community and be a happy loving wife at all times,fear
i was feeling particularly vulnerable i might figure out what i wanted to say and write it inside the card,fear
i am feeling so doubtful that this kind of retreat is gonna be useful for me anyway,fear
i hope it at least helps to let someone know they are not the only one to feel the strange mix of emotions that comes along with hearing platitudes something i know rebecca has written about before as well,fear
i feel so confused lost and irritated,fear
im feeling uncertain and anxious and just hope everything goes well,fear
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear
i am really enjoying this course i am happy with my progress but as i move forward into the second stages i am feeling intimidated by the vast amount of information,fear
i feel so insecure around her,fear
i must not be the only one whos feeling already a little overwhelmed by christmas,fear
i would still feel weird,fear
i celia sending you a hug i know it dosnt help but i think we all feel frightened sometimes,fear
i feel frightened,fear
i got an amazing amount of sleep and after my pm shift i was feeling restless so i got my hiking shoes on and my i pod and ran walked up arthurs seat,fear
i want to be close to those that i can trust and count on and not be as close to those whom i feel skeptical about,fear
i think my harry feels gonna be tortured in the next few days,fear
i think i am avoiding doing what i need do to get the mark i need to go to kenya because i feel like i am back in the system i thought i was escaping and it is this system which is making me continually hesitant to become invested in my placement as much as i truly desire to be,fear
i hope to over come my controlling issues and hope that i have not said anything hurtful or made someone feel insecure,fear
i feel like your senses are constantly assaulted here so you need a safe space to go sit and be alone and feel at rest in,fear
i feel very agitated right now,fear
i still feel so overwhelmed and dont know where to begin,fear
i feel extremely vulnerable,fear
i am feeling wimpy and two my knee is worse than yesterday,fear
i still feel reluctant to spend rm on a drink,fear
i am ok with feeling afraid or uncomfortable for not having any answers,fear
i was feeling a little doubtful about anyway so its great my instincts were spot on,fear
i was feeling positively paranoid,fear
i was feeling a bit apprehensive about it since wes gives me such problems nursing but i had been checking his weight at least weekly and he has been gaining but i was not prepared for his weight to come in at pounds ounces,fear
i said it didn t feel weird,fear
i have a feeling they will never be enough to satisfy its restless wanting nature,fear
i still find myself feeling frightened and alone without you i will become strong and free,fear
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear
i am feeling an emotion but am unsure why i am feeling it,fear
i was feeling a little strange so i decided to lie down and rest for a bit,fear
i feel like crap my mind gets scared and produces anxiety symptoms that really do feel like im getting sick,fear
i remember a vague feeling of being scared,fear
im feeling really shaky about this,fear
i feel restless i feel there is no positive energy in me surround me i feel like crying i am thirsty of positive energy,fear
i just feel overwhelmed with all these thoughts that accompany me,fear
i feel uncertain because i want to try again right away but at the same time i don t,fear
i feel very intimidated by my past and its really time to get over that,fear
i can t move without feeling afraid that somebody might shush me i can t even use my mouse without feeling guilty that its loud clicking sounds will disturb somebody,fear
i am and have found themselves at colleges or universities where they feel threatened into silence about these issues,fear
i start thinking too much about choking to death in my sleep every single person i feel has one way they re especially afraid of dying alone where no one would find them until it s days too late and this is mine,fear
i feel completely threatened because i always have that lingering fear that a dude is going to go all glenn close on me again,fear
i am super excited but it does feel a little strange,fear
i just feel confused at times,fear
i step into the house to get something or answer the phone real quick have left her feeling a bit insecure and she resorts back to her barking at the neighbors or reacting to sounds in the distance,fear
i feel a strange ache in myself to think about leaving here i don t feel like i will never come back but i ve become quite attached to our staff and i don t know even if i do ever come back to india if i will ever see them again,fear
i have started feeling some weird sensations in my lower abdomen,fear
i understand that you re feeling anxious,fear
i cant even explain how difficult it is to tear yourself away from something you both love and feel doubtful of,fear
every time i went home with my school report,fear
i know it sounds so weak but just the short trip through target to pick up the medication and get two more things was all my body could take before feeling very shaky,fear
i feel agitated thinking about his mother and her supposedly hidden msg,fear
i have so many questions that i feel shy to ask my dr,fear
i am feeling so confused allaner wong,fear
i start feeling anxious,fear
i just did but had to stop cause i could feel my heart going frantic,fear
i remember feeling uncertain about what to say well erm we are trying and my period is due this week so erm,fear
i hate how i feel in reaction to the confused glimpses that i have seen,fear
i am not to fond of that though because it feels weird,fear
im feeling terrified no control and now my world is shaking the curtains close and it tingles and tickles inside in my pulse,fear
i feel completely helpless as to what i should do and powerless to do anything at all,fear
i walk towards that guy while controlling my laughter and the moment he sees me walking towards him he feels intimidated,fear
i do not understand why i feel so reluctant to let you go,fear
i was either feeling reluctant or dejected that my sunday a day supposedly for me to rest coz i had saturday classes would be for a biaje one thing that usually tires me,fear
i go to my son s conference next week and i am already feeling nervous and apprehensive,fear
i feel frightened to be able to permit tiny buddy unhappy but i really do n t need paradise thus quickly,fear
i only trust in the things i feel some may say that s strange,fear
i just didn t feel they got me which meant i was reluctant to open up and really share what was going on,fear
i just feel so vulnerable now that hes gone,fear
i feel that todays parents are overly anxious over their childs grades,fear
i feel like im in the strange position of living in between worlds,fear
im feeling about it intimidated it sounds a bit heavy going and like im going to be confronted with issues ive never encountered before,fear
i see many people who are intimidated by art and feel insecure talking to artists and asking questions,fear
i can t help but feel pity for these helpless chicks,fear
im kind of feeling nervous about syringes,fear
i start feeling wimpy and get this diarrhea,fear
i continue to have dreams that involve myself walking aimlessly around the area i live at night feeling frightened for no apparent reason,fear
im expecting any but i guess ill feel pressured to buy gifts for a st birthday as well,fear
im scared of the way he tells me he feels shaken up and destroyed breaking hearts something you cant avoid tears are falling and youre just lolling im scared of you not caring while this pain i feel is overbearing everything you do has got me fearing the life of you,fear
i think back on my experiences years ago now it feels like i ve been assaulted,fear
i feel anxious and sometimes unsure of myself,fear
i want to move forward but i feel doubtful insecure and unsafe,fear
i feel a little less frantic now,fear
i found myself feeling vulnerable weak and full of self pity,fear
i love to talk and i feel very uncomfortable with those awkward lulls of silence that happen when two people dont know each other that well,fear
i was a bit nervous this morning before the th grade graduation since i feel weird at times knowing im just a sub at the school and not a full time teacher,fear
i feel helpless to describe my thoughts experiences and feelings in such a short amount of time in such a concrete way as words,fear
i feel frantic sometimes like im being forced into something and you know im not good with people making decisions for me,fear
i don t know if i m feeling hesitant or scared or just confused,fear
i forced myself to do it with eyes shut tight for takeoff and feeling shaky for most of the flight and because i was traveling regularly my fear of flying gradually decreased,fear
i am feeling vulnerable worrying that the publishing world doesn t like my stories and won t like this next one if i write it,fear
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,fear
i then feel overwhelmed and helpless and start looking to others to help pull me out,fear
im feeling unsure in my role,fear
i feel scared and worried,fear
i have just told them what my kryptonite is and that leaves me feeling a bit vulnerable,fear
i could follow every twitch of thought and swell of feeling quiver through his tortured expression,fear
i was feeling increasingly agitated being stuck at home because of the poor weather,fear
i feel so wimpy barely running,fear
i feel terribly frightened,fear
i am feeling suspicious of the markets sigh of relief and low volume recovery,fear
i have gotten comfortable laying the boat over and gently righting it using a low brace without jerking it or feeling alarmed by the lack of push back,fear
i meet men who feel insecure about women,fear
i love it but i don t know why i m feeling frightened about it,fear
i know that there are many people that feel uncomfortable or challenged when communicating with american students,fear
i am feeling shy,fear
i kind of feel fearful of starting,fear
i can t seem to stop feeling anxious,fear
i dont know if its more the unknown that gets to me or the discomfort i feel in that weird cold sterile environment,fear
i could bike around at any hour and not feel threatened,fear
i remember feeling so scared that day thinking if he would come to love me as his mommy,fear
that if ever i was really naughty i would be sent away from my mum and dad to another family i was fostered from age and didnt get to mum and dad until i was and then legally adopted at,fear
i left feeling really confused because it seemed in conflict of what i remembered her telling me when we first started,fear
i would like to spread it out yet feel unsure about how to do it,fear
i feel like the exfoliating lotion is stronger than any other product i use so im afraid using it more regularly will be a bit too much,fear
i don t know why i feel so restless not feeling that familiarity,fear
i feel less uptight more friendly more open and more playful all of this to a mild degree the warm feeling is definitely the first thing i notice though,fear
i couldnt figure out why the closeness wasnt coming and i was feeling shy and uncomfortable sleeping with you,fear
i do feel helpless nights when i really can t sleep because my mind is running with questions and concerns,fear
i am about to make which i am feeling rather fearful of the consequences to come,fear
ive been feeling sort of strange physically and although im not entirely sure its due to lack of sleep that definately cant be helping,fear
i feel nervous if i dont have something to read within reach,fear
i feel insecure when people reject me but im learning three things,fear
i just feel so completely helpless to ma,fear
i would like to add that at no point did i feel intimidated scared upset or otherwise uncomfortable before during or after the visit,fear
i took a pretty big hiatus last year for reasons and that hiatus followed on from a year of low productivity because other writers my friends who didnt even realise it made me feel too intimidated about not writing pretentious literary masterpieces to continue,fear
i men come to my workshops to learn but they feel shy to present their work unless they are part of a big group,fear
im having moodswings or what but i just feel so easily agitated over small stuffs nowadays i doubt people can see if im angry or having moodswing,fear
i was able to cope physically with pregnancy and childbirth without feeling threatened by the changing image of my body because hey,fear
i read a passage of scripture and i feel confused,fear
im too young to understand why but just old enough to feel completely terrified,fear
i heard of that story i feel scared to go to there,fear
i feel a bit suspicious is it lor al or the sellers fault,fear
i feel paranoid because he wont actually commit to me,fear
i all i hope this finds each of you well do you ever feel overwhelmed,fear
i can definitely tell you that if you feel hesitant about cassel after book you definitely wont after book,fear
i hope mary oliver doesn t ask me what i ve done with my one wild life this week or i will just have to cry and admit i spent most of it oddly and in ways i feel uncertain lead to anything,fear
im feeling a tad intimidated by the sheer volume of content i have to post up,fear
i have artist block i feel inhibited i plan in editing the hatching out,fear
i feel very uptight and agitated,fear
im feeling pretty overwhelmed with trying to get my house packed up and life ready to move around the world two months from tomorrow,fear
i am just in shock right now and feel so afraid after having been playing this game and seeing that there seems to be so many evil things connected to it,fear
i am talking about feeling insecure,fear
i feel suspicious very much,fear
i am still feeling shaken but so happy he is home,fear
i walked into the classroom on the nd floor feeling nervous very in fact,fear
i began to feel suspicious,fear
i feel shaken as though my muscles have been seeped of strength,fear
ill admit to feeling apprehensive at first,fear
im fighting with myself it feels sometimes im scared,fear
i feel restless in my head conflicted by what i want and what is expected,fear
i was happy to see her and talk to her but now she found another job and i feel distraught,fear
i woke up feeling so shaken by it,fear
